Rotation,ABMI Site,Year,Field Date,Field Crew Member(s),Visit,Method of Travel,Route Tracked,Start Time,End Time,Days Since Snow,Snow Conditions,Temperature (Degrees Celsius),Weather,Starting Snow Depth 1 (centimetres),Starting Snow Depth 2 (centimetres),Starting Snow Depth 3 (centimetres),Ending Snow Depth 4 (centimetres),Ending Snow Depth 5 (centimetres),Ending Snow Depth 6 (centimetres)
Prototype,394,2005,22-Jan-06,DD,1,PNA,PNA,10:50,13:25,4,Powder,-2,Clear,12,13,12.5,12.5,13,14
Prototype,477,2004,20-Feb-05,JB3,1,PNA,PNA,11:30,12:40,3,Powder,-6,PNA,58,PNA,PNA,PNA,PNA,PNA
Prototype,477,2004,20-Feb-05,DP2,1,PNA,PNA,11:34,12:50,3,Powder,-3,PNA,71,PNA,PNA,PNA,PNA,PNA
Prototype,477,2004,20-Feb-05,JB3,1,PNA,PNA,12:40,13:30,3,Powder,-7,PNA,26,PNA,PNA,PNA,PNA,PNA
Prototype,477,2004,20-Feb-05,DP2,1,PNA,PNA,12:50,14:00,3,Powder,-3,PNA,61,PNA,PNA,PNA,PNA,PNA
Prototype,477,2004,19-Feb-05,JB3,1,PNA,PNA,13:00,14:11,2,Powder,-6,PNA,44,PNA,PNA,PNA,PNA,PNA
Prototype,477,2004,20-Feb-05,JB3,1,PNA,PNA,13:30,14:20,3,Powder,-7,PNA,73,PNA,PNA,PNA,PNA,PNA
Prototype,477,2004,19-Feb-05,JB3,1,PNA,PNA,14:11,15:30,2,Powder,-4,PNA,73,PNA,PNA,PNA,PNA,PNA
Prototype,477,2004,19-Feb-05,DP2,1,PNA,PNA,14:44,16:01,2,Powder,-5,PNA,63,PNA,PNA,PNA,PNA,PNA
Prototype,477,2004,19-Feb-05,DP2,1,PNA,PNA,16:01,17:15,2,Powder,-5,PNA,64,PNA,PNA,PNA,PNA,PNA
Prototype,478,2004,19-Feb-05,JS2/RP,1,PNA,PNA,10:11,11:25,2,Crust,-10,PNA,50,PNA,PNA,PNA,PNA,PNA
Prototype,478,2004,19-Feb-05,JS2/RP,1,PNA,PNA,10:11,11:08,2,Crust,-4,PNA,60,PNA,PNA,PNA,PNA,PNA
Prototype,478,2004,19-Feb-05,JS2/RP,1,PNA,PNA,11:25,12:31,2,Crust,-8,PNA,69,PNA,PNA,PNA,PNA,PNA
Prototype,478,2004,19-Feb-05,JS2/RP,1,PNA,PNA,12:05,12:56,2,Crust,-6,PNA,59,PNA,PNA,PNA,PNA,PNA
Prototype,478,2004,19-Feb-05,JS2/RP,1,PNA,PNA,12:31,13:38,2,Crust,-7,PNA,52,PNA,PNA,PNA,PNA,PNA
Prototype,478,2004,19-Feb-05,JS2/RP,1,PNA,PNA,12:56,11:08,2,Crust,-4,PNA,58,PNA,PNA,PNA,PNA,PNA
Prototype,478,2004,19-Feb-05,JS2/RP,1,PNA,PNA,12:56,13:43,2,Crust,-3,PNA,74,PNA,PNA,PNA,PNA,PNA
Prototype,478,2004,19-Feb-05,JS2/RP,1,PNA,PNA,13:38,14:42,2,Crust,-6,PNA,52,PNA,PNA,PNA,PNA,PNA
Prototype,478,2004,19-Feb-05,JS2/RP,1,PNA,PNA,13:43,14:42,2,Crust,-3,PNA,74,PNA,PNA,PNA,PNA,PNA
Prototype,479,2004,20-Feb-05,JS2,1,PNA,PNA,10:37,11:04,2,Crust,-7,PNA,50,PNA,PNA,PNA,PNA,PNA
Prototype,479,2004,20-Feb-05,RP,1,PNA,PNA,10:37,11:16,2,Crust,-7,PNA,50,PNA,PNA,PNA,PNA,PNA
Prototype,479,2004,20-Feb-05,JS2,1,PNA,PNA,11:04,12:08,2,Crust,-7,PNA,52,PNA,PNA,PNA,PNA,PNA
Prototype,479,2004,20-Feb-05,RP,1,PNA,PNA,11:16,12:09,2,Crust,-8,PNA,52,PNA,PNA,PNA,PNA,PNA
Prototype,479,2004,20-Feb-05,JS2,1,PNA,PNA,12:08,13:23,2,Crust,-7,PNA,63,PNA,PNA,PNA,PNA,PNA
Prototype,479,2004,20-Feb-05,RP,1,PNA,PNA,12:09,13:06,2,Crust,-6,PNA,66,PNA,PNA,PNA,PNA,PNA
