ABMI.Site,day,month,year,Days.Since.Snow,Snow.Conditions,Temperature..Degrees.Celsius.,mean.snow.depth
394,22,Jan,2006,4,Powder,-2,12.833333333333334
482,5,Feb,2007,5,Powder,-20,43.333333333333336
483,4,Feb,2007,4,Powder,-20,43
512,18,Feb,2006,5,Powder,-7,25.833333333333332
514,4,Feb,2007,4,Powder,-15,55.333333333333336
521,14,Jan,2006,3,Powder,-9,12.916666666666666
521,6,Mar,2006,3,Powder,-10,34.666666666666664
538,3,Feb,2007,3,Powder,-25,50.5
539,3,Feb,2007,3,Powder,-25,45.5
540,4,Feb,2006,5,Powder,-7,25.333333333333332
541,4,Feb,2006,5,Powder,-5,35.333333333333336
544,18,Feb,2006,5,Powder,-15,20.5
545,17,Feb,2006,4,Powder,-12,37.666666666666664
576,17,Feb,2006,4,Powder,-16,49.166666666666664
601,24,Feb,2006,3,Powder,-15,28.5
633,3,Feb,2006,4,Powder,-7,16.666666666666668
634,3,Feb,2006,4,Powder,1,22.666666666666668
635,19,Feb,2006,6,Powder,-12,34.333333333333336
639,25,Jan,2006,4,Wet,1,21.166666666666668
665,2,Feb,2006,3,Powder,-1,23.333333333333332
666,2,Feb,2006,3,Powder,-5,20.166666666666668
667,26,Jan,2006,5,Crust,-4,20
668,26,Jan,2006,5,Crust,-5,13.833333333333334
670,24,Jan,2006,3,Wet,-2,14.666666666666666
671,25,Jan,2006,4,Crust,-5,14.666666666666666
696,1,Feb,2006,2,Powder,-10,27.166666666666668
697,1,Feb,2006,2,Powder,-10,24.833333333333332
698,25,Feb,2006,4,Powder,-20,25.5
699,27,Jan,2006,6,Crust,-12,17.333333333333332
700,27,Jan,2006,6,Crust,-12,19.5
719,23,Mar,2006,5,Crust,-4,41
750,19,Feb,2006,5,Powder,-1,20.583333333333332
750,22,Mar,2006,4,Powder,3,30
819,15,Jan,2006,4,Powder,-7,3
819,13,Feb,2006,5,Crust,4,17.833333333333332
880,26,Feb,2006,3,Powder,-15,9
880,20,Mar,2006,2,Powder,0,36.166666666666664
910,14,Mar,2006,3,Powder,-8,28.5
910,21,Mar,2006,1,Powder,-7,33
934,22,Jan,2006,3,Wet,3,15.333333333333334
934,2,Mar,2006,3,Powder,-1,30.333333333333332
1138,12,Mar,2006,11,Crust,0,12.5
1294,10,Dec,2005,5,Wet,3,8.75
1294,14,Mar,2006,4,Powder,-4,19
2,4,Mar,2010,5,Crust,-6,26
3,4,Mar,2010,5,Crust,-1,37.333333333333336
4,22,Feb,2013,3,Powder,-5,29.833333333333332
5,22,Feb,2013,3,Powder,-8,37.833333333333336
6,23,Feb,2013,4,Powder,-10,38.5
7,28,Jan,2014,3,Powder,-19,36.333333333333336
7,28,Jan,2014,3,Powder,-19,36.333333333333336
8,28,Jan,2014,3,Powder,-20,51.666666666666664
8,28,Jan,2014,3,Powder,-20,51.666666666666664
13,2,Mar,2010,3,Powder,2,36
16,19,Feb,2013,3,Powder,-14,49.5
17,27,Feb,2013,4,Crust,-20,36.166666666666664
18,23,Feb,2013,4,Powder,-10,45.333333333333336
19,31,Jan,2014,5,Powder,-18,52.666666666666664
19,31,Jan,2014,5,Powder,-18,52.666666666666664
20,31,Jan,2014,5,Powder,-20,52.333333333333336
20,31,Jan,2014,5,Powder,-20,52.333333333333336
32,2,Mar,2010,3,Wet,7,35.833333333333336
33,3,Mar,2010,4,Wet,9,31.333333333333332
34,3,Mar,2010,4,Crust,-2,36.333333333333336
36,28,Feb,2013,5,Powder,-10,43.833333333333336
37,28,Feb,2013,5,Powder,-10,42.333333333333336
38,30,Jan,2014,4,Crust,-20,57
38,30,Jan,2014,4,Crust,-20,57
39,30,Jan,2014,4,Powder,-20,51.833333333333336
39,30,Jan,2014,4,Powder,-20,51.833333333333336
54,7,Mar,2012,3,Powder,-15,34.166666666666664
55,7,Mar,2012,3,Powder,-12,30.5
55,7,Mar,2012,3,Powder,-12,29.333333333333332
56,8,Mar,2012,4,Powder,-6,35.166666666666664
56,8,Mar,2012,4,Powder,-6,36.166666666666664
63,26,Feb,2013,5,Crust,-20,51.333333333333336
64,1,Mar,2013,6,Powder,-10,43.666666666666664
65,1,Mar,2013,6,Powder,-10,42
82,26,Feb,2012,3,Powder,-17,42.166666666666664
82,26,Feb,2012,3,Powder,-17,42.166666666666664
83,27,Feb,2012,4,Powder,-12,41.333333333333336
83,27,Feb,2012,4,Powder,-12,44.666666666666664
84,28,Feb,2012,5,Powder,-5,37.5
84,28,Feb,2012,5,Powder,-5,40.666666666666664
91,26,Feb,2013,6,Powder,-18,56
92,25,Feb,2013,4,Powder,-10,44.666666666666664
93,24,Feb,2013,3,Powder,-12,42.5
111,26,Feb,2012,3,Powder,-17,46.666666666666664
111,26,Feb,2012,3,Powder,-17,40
112,27,Feb,2012,4,Powder,-19,34.666666666666664
112,27,Feb,2012,4,Powder,-19,36.833333333333336
113,28,Feb,2012,5,Powder,-4,44.333333333333336
113,28,Feb,2012,5,Powder,-4,37
121,25,Feb,2013,4,Powder,-12,40.166666666666664
122,24,Feb,2013,3,Powder,-12,46.666666666666664
134,8,Jan,2012,3,Powder,-4,35.833333333333336
134,8,Jan,2012,3,Powder,-4,33.333333333333336
135,9,Jan,2012,4,Powder,0,37.5
135,9,Jan,2012,4,Powder,0,38.666666666666664
136,18,Dec,2011,3,Powder,-15,28
136,18,Dec,2011,3,Powder,-15,28.5
149,3,Feb,2012,4,Powder,-5,37.833333333333336
150,3,Feb,2012,4,Powder,-10,30.833333333333332
151,4,Feb,2012,5,Powder,0,27.166666666666668
153,11,Jan,2013,3,Powder,-27,16.5
154,11,Jan,2013,3,Powder,-28,37.333333333333336
154,11,Jan,2013,3,Powder,-28,37.333333333333336
163,8,Jan,2012,3,Powder,-3,40.833333333333336
163,8,Jan,2012,3,Powder,-3,40.833333333333336
164,21,Dec,2011,6,Powder,-12,33.5
